"When you ask us to remove your data, we will remove your account and any data we collected about you or your child. Additionaly if you have a subscription, it will be terminated. And removed data will not be recoverable.", "Kada zatražite uklanjanje vaših podataka, uklonit ćemo vaš račun i sve podatke koje smo prikupili o vama ili vašem djetetu. Dodatno, ako imate pretplatu, ona će biti prekinuta. A uklonjeni podaci neće biti obnovljivi."
"I understand, remove my data.", "Razumijem, uklonite moje podatke."
"Parents Only", "Samo za roditelje"
"Drag and drop the key over padlock in order to unlock the Settings", "Povucite i ispustite ključ preko lokota kako biste otključali Postavke"
"Create a profile!", "Stvorite profil!"
"Choose a profile name or tell us the person who is going to use this application.", "Odaberite ime profila ili recite nam tko će koristiti ovu aplikaciju."
"Your Name", "Vaše ime"
"Choose an avatar!", "Odaberite avatar!"
"Choose an avatar for the person who is going to use this AAC application.", "Odaberite avatar za osobu koja će koristiti ovu AAC aplikaciju."
"Boy", "Dječak"
"Girl", "Djevojčica"
"Mixed", "Miješano"
"Congratulations, $1!", "Čestitamo, $1!"
"Your user profile has been completed. You can start using Leeloo AAC app", "Vaš korisnički profil je dovršen. Možete početi koristiti Leeloo AAC aplikaciju"
"Welcome to", "Dobrodošli u"
"Leeloo AAC", "Leeloo AAC"
"Thank you for downloading Leeloo AAC, let's get started with setting up your leeloo profile.", "Hvala vam na preuzimanju Leeloo AAC, započnimo s postavljanjem vašeg leeloo profila."
"View other sign in options", "Pogledajte druge opcije prijave"
"Who is using the app?", "Tko koristi aplikaciju?"
"Search cards and phrases...", "Pretražite kartice i fraze..."
"Unlock Leeloo Premium!", "Otključajte Leeloo Premium!"
"Functionality of Leeloo AAC will always be free. Leeloo Premium offers +50 additional Assistive Card packs.", "Funkcionalnost Leeloo AAC će uvijek biti besplatna. Leeloo Premium nudi +50 dodatnih paketa pomoćnih kartica."
"Monthly", "Mjesečno"
"Try 3 days for FREE", "Isprobajte 3 dana BESPLATNO"
"Then $1/year", "Zatim $1/godišnje"
"Lifetime", "Doživotno"
"One-time Payment", "Jednokratno plaćanje"
"SAVE $1%", "UŠTEDITE $1%"
"$1/mo", "$1/mj"
"See the packs you will unlock", "Pogledajte pakete koje ćete otključati"
"Scroll the cards right to see all of the premium assistive cards.", "Pomaknite kartice udesno da biste vidjeli sve premium pomoćne kartice."
"$1 cards", "$1 kartica"
"$1 phrases", "$1 fraza"
"Start 3 days FREE Trial", "Započnite 3 dana BESPLATNE probe"
"Cancel anytime without cost", "Otkažite bilo kada bez troška"
"Free trial for 3 days only appy to yearly plan and during this time; you can cancel your subscription without any cost.", "Besplatna proba od 3 dana odnosi se samo na godišnji plan i tijekom tog vremena; možete otkazati svoju pretplatu bez ikakvih troškova."
"Make sure to review the seller platform Terms and Conditions before hand, if you have any problems or issues contact us and we will do everything we can to solve any problems you face.", "Svakako pregledajte Uvjete i odredbe platforme prodavatelja unaprijed, ako imate bilo kakvih problema ili poteškoća, kontaktirajte nas i učinit ćemo sve što možemo da riješimo sve probleme s kojima se suočite."
"Monthly and Yearly plans are recurring plans and Lifetime plan is a one-time payment plan, for subscriptions, unless auto-renew is turned off you will be charged the period price when the current period ends.", "Mjesečni i godišnji planovi su ponavljajući planovi, a Doživotni plan je plan jednokratnog plaćanja, za pretplate, ako nije isključeno automatsko obnavljanje, naplatit će vam se cijena za razdoblje kada trenutno razdoblje završi."
"Keep in mind refunds are handled by the platforms and the refund times and policies might differ respect to the platform and the market you are subscribing from.", "Imajte na umu da povrate novca obrađuju platforme, a vremena povrata i politike mogu se razlikovati ovisno o platformi i tržištu s kojeg se pretplaćujete."
"Please report accidental purchases to us the same day or at least in 24 hours using 'Send Feedback' page in App settings.", "Molimo prijavite slučajne kupnje istog dana ili barem u roku od 24 sata koristeći stranicu 'Pošalji povratne informacije' u postavkama aplikacije."
"Leeloo Premium", "Leeloo Premium"
"Subscribe to get more", "Pretplatite se za više"
"Try 3 days for free", "Isprobajte 3 dana besplatno"
"Next", "Dalje"
"Start", "Početak"
"USE", "KORISTI"
"USING", "KORIŠTENJE"
"ADD", "DODAJ"
"REMOVE", "UKLONI"
"Your device doesn't support voice driver for this language. In order to use TTS capabilities, you need to install a voice driver. You can try 'Google TTS' app to install and manage drivers!", "Vaš uređaj ne podržava upravljački program glasa za ovaj jezik. Za korištenje TTS mogućnosti, morate instalirati upravljački program glasa. Možete isprobati aplikaciju 'Google TTS' za instalaciju i upravljanje upravljačkim programima!"
"Confirm Sign Out", "Potvrdi odjavu"
"Keep in mind you can keep signed in, and don't have to sign out of your account every time.", "Imajte na umu da možete ostati prijavljeni i ne morate se odjavljivati svaki put."
"Remove Profile", "Ukloni profil"
"Are you sure that you want to remove this profile, data created by this profile will also be removed.", "Jeste li sigurni da želite ukloniti ovaj profil, podaci koje je stvorio ovaj profil također će biti uklonjeni."
"OK", "U redu"
"Cancel", "Odustani"
